name,mobile,email,password,taluka,district
Bharat Naikwadi,9194586311,bharatnaikwadi@nexora.in,farm123,Shahada,Nandurbar
Vasant Khedkar,6594554500,vasantkhedkar@nexora.in,farm123,Nagpur Urban,Nagpur
Sunanda Deshpande,9619843745,sunandadeshpan@nexora.in,farm123,Patoda,Beed
Sarika Ghorpade,6554577471,sarikaghorpade@nexora.in,farm123,Shahada,Nandurbar
Archana Solanke,7339673477,archanasolanke@nexora.in,farm123,Lanja,Ratnagiri
Madhukar Bansode,8031015054,madhukarbansod2@nexora.in,farm123,Manora,Washim
Madhuri Shinde,7581481808,madhurishinde@nexora.in,farm123,Shrivardhan,Raigad
Anil Jare,8860960227,aniljare@nexora.in,farm123,Khuldabad,Chhatrapati Sambhajinagar (Aurangabad)
Archana Yeole,8081808603,archanayeole@nexora.in,farm123,Indapur,Pune
Anand Fadnavis,7785709132,anandfadnavis@nexora.in,farm123,Lohara,Dharashiv (Osmanabad)
Vandana Salunkhe,7927999003,vandanasalunkh2@nexora.in,farm123,Jawhar,Palghar
Bharat More,7689210605,bharatmore2@nexora.in,farm123,Navapur,Nandurbar
Radhika Gadhave,8652969259,radhikagadhave@nexora.in,farm123,Savner,Nagpur
Krushna Shelke,7455487358,krushnashelke3@nexora.in,farm123,Devgad,Sindhudurg
Neelam Zende,7382885005,neelamzende@nexora.in,farm123,Sindewahi,Chandrapur
Vimal Borate,8599786343,vimalborate@nexora.in,farm123,Shahada,Nandurbar
Jyoti Khedkar,9597130911,jyotikhedkar@nexora.in,farm123,Bandra,Mumbai Suburban
Lata Waghmare,6598205772,latawaghmare@nexora.in,farm123,Dadar,Mumbai City
Rupali Pardeshi,8650297203,rupalipardeshi@nexora.in,farm123,Wadwani,Beed
Swati Shinde,9014260090,swatishinde@nexora.in,farm123,Radhanagari,Kolhapur
Sachin Bhagat,9570332102,sachinbhagat@nexora.in,farm123,Chakur,Latur
Shankar Randhawa,7986400126,shankarrandhaw@nexora.in,farm123,Jalgaon Jamod,Buldhana
Shobha Mane,8969391641,shobhamane@nexora.in,farm123,Yawal,Jalgaon
Suresh Waghmare,8946836462,sureshwaghmare@nexora.in,farm123,Daryapur,Amravati
Vandana Ghule,9052177011,vandanaghule@nexora.in,farm123,Morshi,Amravati
Krushna Landge,9550033542,krushnalandge@nexora.in,farm123,Dhule,Dhule
Keshav Mhaske,8949339809,keshavmhaske@nexora.in,farm123,Risod,Washim
Bhausaheb Rathod,9772370937,bhausahebratho@nexora.in,farm123,Mohadi,Bhandara
Tanaji Nalawade,6893917462,tanajinalawade@nexora.in,farm123,Mangrulpir,Washim
Shobha Dabhade,9554149083,shobhadabhade@nexora.in,farm123,Ghansawangi,Jalna
Vishal Mane,9111766831,vishalmane2@nexora.in,farm123,Aundha Nagnath,Hingoli
Baban Chavhan,9222161207,babanchavhan@nexora.in,farm123,Guhagar,Ratnagiri
Madhuri Ubale,9909205400,madhuriubale@nexora.in,farm123,Mandangad,Ratnagiri
Meera Lokhande,9931986350,meeralokhande@nexora.in,farm123,Sironcha,Gadchiroli
Sunita Mane,9135902033,sunitamane@nexora.in,farm123,Deori,Gondia
Milind Sable,6917226482,milindsable@nexora.in,farm123,Hinganghat,Wardha
Sanjay Chavan,9485114373,sanjaychavan@nexora.in,farm123,Thane,Thane
Bharat Lokhande,7485810405,bharatlokhande@nexora.in,farm123,Gondia,Gondia
Govind Ghule,9676083212,govindghule@nexora.in,farm123,Kudal,Sindhudurg
Dnyaneshwar Ghule,8269413305,dnyaneshwarghu@nexora.in,farm123,Roha,Raigad
Vasant Tupe,7781537133,vasanttupe@nexora.in,farm123,Risod,Washim
Anil Yeole,7127990980,anilyeole@nexora.in,farm123,Sindkhed Raja,Buldhana
Laxman Jadhav,7752583197,laxmanjadhav@nexora.in,farm123,Dharur,Beed
Meera Khedkar,9743603785,meerakhedkar@nexora.in,farm123,Chandurbazar,Amravati
Snehal Gawali,8718738681,snehalgawali@nexora.in,farm123,Miraj,Sangli
Pooja Patil,6415886504,poojapatil@nexora.in,farm123,Malegaon,Washim
Anil Patil,7063541063,anilpatil@nexora.in,farm123,Kamptee,Nagpur
Popat Sable,9677446840,popatsable2@nexora.in,farm123,Navapur,Nandurbar
Sushila Deshmukh,6553665763,sushiladeshmuk@nexora.in,farm123,Panhala,Kolhapur
Anand Zende,9084045107,anandzende@nexora.in,farm123,Jalkot,Latur
Sindhu Waghmare,6153366841,sindhuwaghmare@nexora.in,farm123,Khed,Pune
Krushna Suryawanshi,8060158531,krushnasuryawa@nexora.in,farm123,Arni,Yavatmal
Kamal Ubhe,7214555298,kamalubhe@nexora.in,farm123,Sawantwadi,Sindhudurg
Yogesh More,7561294683,yogeshmore@nexora.in,farm123,Lakhandur,Bhandara
Anand Pardeshi,9764337285,anandpardeshi@nexora.in,farm123,Byculla,Mumbai City
Manisha Wagh,6476832195,manishawagh3@nexora.in,farm123,Himayatnagar,Nanded
Tanaji Deshmukh,6416440893,tanajideshmukh@nexora.in,farm123,Solapur North,Solapur
Shankar Thorat,7204894537,shankarthorat@nexora.in,farm123,Jaoli,Satara
Snehal Kale,6806936068,snehalkale@nexora.in,farm123,Ralegaon,Yavatmal
Rekha Vhatkar,6873333535,rekhavhatkar@nexora.in,farm123,Amravati,Amravati
Rajesh Jadhav,9966554522,rajeshjadhav@nexora.in,farm123,Mahur,Nanded
Sopan Nalawade,6694959430,sopannalawade@nexora.in,farm123,Shegaon,Buldhana
Lata Hande,6376650574,latahande@nexora.in,farm123,Amalner,Jalgaon
Vandana Nikam,9225732952,vandananikam@nexora.in,farm123,Talasari,Palghar
Shankar Fadnavis,9161700936,shankarfadnavi@nexora.in,farm123,Jalgaon Jamod,Buldhana
Bandu Sable,7192258565,bandusable@nexora.in,farm123,Daryapur,Amravati
Meera Waghmare,8710002529,meerawaghmare@nexora.in,farm123,Udgir,Latur
Pandurang Joshi,6278845487,pandurangjoshi@nexora.in,farm123,Hingoli,Hingoli
Manisha Wagh,8211924047,manishawagh2@nexora.in,farm123,Kandhar,Nanded
Raghunath Waghmare,6532756392,raghunathwaghm2@nexora.in,farm123,Maval,Pune
Namdev Bansode,9023843479,namdevbansode@nexora.in,farm123,Byculla,Mumbai City
Zaheer Sathe,8466646349,zaheersathe@nexora.in,farm123,Kalameshwar,Nagpur
Dilip Rathod,6678522155,diliprathod2@nexora.in,farm123,Arni,Yavatmal
Meera Ohol,7634439856,meeraohol@nexora.in,farm123,Haveli,Pune
Sadashiv Bhosale,9177483518,sadashivbhosal@nexora.in,farm123,Malegaon,Nashik
Tukaram Bansode,9303971958,tukarambansode@nexora.in,farm123,Chalisgaon,Jalgaon
Swati Yadav,6490446329,swatiyadav@nexora.in,farm123,Majalgaon,Beed
Swati Takawale,6741506215,swatitakawale@nexora.in,farm123,Dharni,Amravati
Yamuna Patil,8961233066,yamunapatil@nexora.in,farm123,Vaibhavwadi,Sindhudurg
Sindhu Ubhe,7224445817,sindhuubhe@nexora.in,farm123,Shrirampur,Ahilyanagar (Ahmednagar)
Nitin Pawar,7977872433,nitinpawar2@nexora.in,farm123,Deori,Gondia
Raghunath Kale,7385589741,raghunathkale@nexora.in,farm123,Sindewahi,Chandrapur
Ishwar Kulkarni,8241034586,ishwarkulkarni@nexora.in,farm123,Dindori,Nashik
Umesh Takawale,7783981700,umeshtakawale@nexora.in,farm123,Sonpeth,Parbhani
Raghunath Ubhe,6915609258,raghunathubhe@nexora.in,farm123,Bandra,Mumbai Suburban
Rajendra Joshi,6363346188,rajendrajoshi@nexora.in,farm123,Samudrapur,Wardha
Seema Gadhave,8551573518,seemagadhave@nexora.in,farm123,Lakhandur,Bhandara
Dnyaneshwar Deshmukh,9304482877,dnyaneshwardes2@nexora.in,farm123,Bhatkuli,Amravati
Mangal Dhumal,7894299453,mangaldhumal@nexora.in,farm123,Umarkhed,Yavatmal
Bharat Bansode,9065131983,bharatbansode@nexora.in,farm123,Koregaon,Satara
Madhuri Rathod,8564809436,madhurirathod@nexora.in,farm123,Barshi,Solapur
Vasudev Kachare,6225510501,vasudevkachare@nexora.in,farm123,Chandrapur,Chandrapur
Yogesh Rane,8579866013,yogeshrane@nexora.in,farm123,Parbhani,Parbhani
Milind Borate,9782189226,milindborate@nexora.in,farm123,Saoli,Chandrapur
Ravindra Chougule,7951161516,ravindrachougu@nexora.in,farm123,Hatkanangale,Kolhapur
Tukaram Ohol,9990644543,tukaramohol@nexora.in,farm123,Byculla,Mumbai City
Shobha Jadhav,8209004869,shobhajadhav@nexora.in,farm123,Dodamarg,Sindhudurg
Shrikant Solanke,6366770698,shrikantsolank@nexora.in,farm123,Solapur South,Solapur
Balasaheb Ubhe,6843334339,balasahebubhe@nexora.in,farm123,Osmanabad,Dharashiv (Osmanabad)
Pandurang Tupe,6107369983,pandurangtupe@nexora.in,farm123,Kavathemahankal,Sangli
Kamal Sathe,8233543033,kamalsathe@nexora.in,farm123,Chandur,Amravati
Prakash Tupe,8403310453,prakashtupe@nexora.in,farm123,Malkapur,Buldhana
Vishal Kulkarni,8709376669,vishalkulkarni@nexora.in,farm123,Renapur,Latur
Hanumant Hiwale,6027510942,hanumanthiwale@nexora.in,farm123,Bhudargad,Kolhapur
Ajit Bhosale,7341354370,ajitbhosale@nexora.in,farm123,Pombhurna,Chandrapur
Anil Salunkhe,8903754776,anilsalunkhe@nexora.in,farm123,Tiosa,Amravati
Shivaji Naikwadi,8372135081,shivajinaikwad@nexora.in,farm123,Kavathemahankal,Sangli
Nanda Wagh,8528898041,nandawagh@nexora.in,farm123,Fort,Mumbai City
Vandana Joshi,7699270581,vandanajoshi@nexora.in,farm123,Warora,Chandrapur
Rajesh Chougule,9193281568,rajeshchougule@nexora.in,farm123,Vasai,Palghar
Eknath Sable,8239570986,eknathsable@nexora.in,farm123,Ulhasnagar,Thane
Shobha Shelke,7771679432,shobhashelke@nexora.in,farm123,Mantha,Jalna
Mangal Zende,9226593553,mangalzende@nexora.in,farm123,Etapalli,Gadchiroli
Shobha Chougule,6906222972,shobhachougule@nexora.in,farm123,Patan,Satara
Vimal Borate,7672036458,vimalborate2@nexora.in,farm123,Barshi,Solapur
Shrikant Deshpande,7647438960,shrikantdeshpa@nexora.in,farm123,Bhokardan,Jalna
Madhukar Mane,9328983401,madhukarmane@nexora.in,farm123,Barshitakli,Akola
Yamuna More,6446639493,yamunamore@nexora.in,farm123,Borivali,Mumbai Suburban
Prakash Jadhav,7078965719,prakashjadhav@nexora.in,farm123,Parola,Jalgaon
Snehal More,6515588166,snehalmore@nexora.in,farm123,Dhule,Dhule
Sarika Chougule,6252746727,sarikachougule@nexora.in,farm123,Umri,Nanded
Prashant Yeole,6345897989,prashantyeole@nexora.in,farm123,Akkalkuwa,Nandurbar
Vimal Zende,7085704422,vimalzende@nexora.in,farm123,Babhulgaon,Yavatmal
Ganesh Salunkhe,9890778866,ganeshsalunkhe@nexora.in,farm123,Murud,Raigad
Radhika Rane,8653524755,radhikarane@nexora.in,farm123,Udgir,Latur
Govind Suryawanshi,8309056101,govindsuryawan@nexora.in,farm123,Raver,Jalgaon
Gopichand Pawar,6830162844,gopichandpawar@nexora.in,farm123,Solapur South,Solapur
Sunanda Nikam,8409473781,sunandanikam@nexora.in,farm123,Dadar,Mumbai City
Dilip Hande,9785176296,diliphande@nexora.in,farm123,Murud,Raigad
Suresh Chavan,9605299921,sureshchavan@nexora.in,farm123,Ralegaon,Yavatmal
Bharat Jadhav,9413631521,bharatjadhav2@nexora.in,farm123,Karjat,Raigad
Anand Mhaske,9298208240,anandmhaske2@nexora.in,farm123,Phaltan,Satara
Maruti Waghmare,8064709519,marutiwaghmare@nexora.in,farm123,Rahata,Ahilyanagar (Ahmednagar)
Ramchandra Suryawanshi,7081970184,ramchandrasury2@nexora.in,farm123,Deori,Gondia
Usha Chougule,8882092242,ushachougule@nexora.in,farm123,Peth,Nashik
Ishwar Gawali,6617951799,ishwargawali2@nexora.in,farm123,Pauni,Bhandara
Vijay Deshpande,9869477161,vijaydeshpande2@nexora.in,farm123,Purna,Parbhani
Swati Hande,9740302548,swatihande@nexora.in,farm123,Bandra,Mumbai Suburban
Bandu Wagh,7795944270,banduwagh@nexora.in,farm123,Dahanu,Palghar
Laxman Patil,6505304370,laxmanpatil@nexora.in,farm123,Tuljapur,Dharashiv (Osmanabad)
Sanjay Jagtap,7668881434,sanjayjagtap2@nexora.in,farm123,Sengaon,Hingoli
Ramesh Zaware,7391165213,rameshzaware@nexora.in,farm123,Mukhed,Nanded
Vishal Chavan,6792052935,vishalchavan@nexora.in,farm123,Tuljapur,Dharashiv (Osmanabad)
Prakash Jare,7444864373,prakashjare@nexora.in,farm123,Narkhed,Nagpur
Lata Pardeshi,7253835070,latapardeshi@nexora.in,farm123,Yawal,Jalgaon
Swati Wagh,8171017136,swatiwagh@nexora.in,farm123,Rahuri,Ahilyanagar (Ahmednagar)
Arun Naikwadi,7370561467,arunnaikwadi@nexora.in,farm123,Karanja,Washim
Chandrakant Vibhute,7085242532,chandrakantvib@nexora.in,farm123,Sonpeth,Parbhani
Shrikant Waghmare,7195388588,shrikantwaghma@nexora.in,farm123,Ausa,Latur
Sadashiv Sathe,8922644338,sadashivsathe@nexora.in,farm123,Wardha,Wardha
Rajesh Nalawade,9659153710,rajeshnalawade@nexora.in,farm123,Seloo,Wardha
Eknath Ubhe,7534111725,eknathubhe@nexora.in,farm123,Kelapur,Yavatmal
Vandana Chavan,6677105197,vandanachavan2@nexora.in,farm123,Vaibhavwadi,Sindhudurg
Dattatray Adsul,8077296794,dattatrayadsul@nexora.in,farm123,Jafrabad,Jalna
Zaheer Jagtap,7128508669,zaheerjagtap@nexora.in,farm123,Borivali,Mumbai Suburban
Kalpana Ghorpade,6914535518,kalpanaghorpad@nexora.in,farm123,Bhor,Pune
Radhika Ghadge,8683163786,radhikaghadge@nexora.in,farm123,Baramati,Pune
Jyoti Rasal,9270092311,jyotirasal@nexora.in,farm123,Mahur,Nanded
Vinod Jare,8781498814,vinodjare@nexora.in,farm123,Jintur,Parbhani
Ajit Gadhave,8947469056,ajitgadhave@nexora.in,farm123,Osmanabad,Dharashiv (Osmanabad)
Chandrakant Chavhan,8674930545,chandrakantcha@nexora.in,farm123,Dhule,Dhule
Kailas Ubale,7098958852,kailasubale@nexora.in,farm123,Hinganghat,Wardha
Gopal Patil,7955621687,gopalpatil@nexora.in,farm123,Deoli,Wardha
Madhuri Suryawanshi,6265847332,madhurisuryawa@nexora.in,farm123,Sindkheda,Dhule
Raghunath Joshi,6173599671,raghunathjoshi@nexora.in,farm123,Junnar,Pune
Anil Yeole,8762602397,anilyeole2@nexora.in,farm123,Karanja,Washim
Rekha Jadhav,7457250157,rekhajadhav@nexora.in,farm123,Mohol,Solapur
Rajendra Powar,7040699409,rajendrapowar@nexora.in,farm123,Malkapur,Buldhana
Ganesh Yeole,9706021854,ganeshyeole@nexora.in,farm123,Zari Jamani,Yavatmal
Baban Fadnavis,9465450207,babanfadnavis@nexora.in,farm123,Biloli,Nanded
Vinod Jadhav,6540338015,vinodjadhav@nexora.in,farm123,Khed,Pune
Bandu Yadav,8326930462,banduyadav2@nexora.in,farm123,Shirala,Sangli
Dattatray Gawali,6701743403,dattatraygawal@nexora.in,farm123,Etapalli,Gadchiroli
Anil Mhaske,9964563555,anilmhaske@nexora.in,farm123,Borivali,Mumbai Suburban
Anita Patil,9649602181,anitapatil2@nexora.in,farm123,Umred,Nagpur
Zaheer Lokhande,6494450287,zaheerlokhande@nexora.in,farm123,Kagal,Kolhapur
Shrikant Nalawade,9410018488,shrikantnalawa@nexora.in,farm123,Chiplun,Ratnagiri
Sunita Kadam,7569366229,sunitakadam@nexora.in,farm123,Sawantwadi,Sindhudurg
Gopichand Lokhande,8710484882,gopichandlokha@nexora.in,farm123,Panhala,Kolhapur
Rajendra Naikwadi,8769338503,rajendranaikwa@nexora.in,farm123,Walwa,Sangli
Kamal Pawar,7644010541,kamalpawar@nexora.in,farm123,Colaba,Mumbai City
Deepak Vibhute,6318834983,deepakvibhute@nexora.in,farm123,Mul,Chandrapur
Baburao Adsul,6380495104,baburaoadsul2@nexora.in,farm123,Jafrabad,Jalna
Shivaji Satpute,8866118589,shivajisatpute@nexora.in,farm123,Aundha Nagnath,Hingoli
Gopichand Ubhe,7789912929,gopichandubhe2@nexora.in,farm123,Ashti,Wardha
Uttam Naikwadi,8424607304,uttamnaikwadi2@nexora.in,farm123,Deori,Gondia
Sanjay Bhosale,9252667625,sanjaybhosale@nexora.in,farm123,Bandra,Mumbai Suburban
Ashok Rasal,8358822795,ashokrasal@nexora.in,farm123,Uran,Raigad
Yogesh Solanke,6444019810,yogeshsolanke@nexora.in,farm123,Paithan,Chhatrapati Sambhajinagar (Aurangabad)
Rekha Hiwale,9744236444,rekhahiwale@nexora.in,farm123,Akkalkot,Solapur
Prakash Bhandare,8090062687,prakashbhandar@nexora.in,farm123,Hingoli,Hingoli
Ramchandra Pawar,9499163239,ramchandrapawa@nexora.in,farm123,Hinganghat,Wardha
Rekha Wagh,9113380133,rekhawagh@nexora.in,farm123,Dahanu,Palghar
Snehal Bhandare,6578015346,snehalbhandare@nexora.in,farm123,Manwath,Parbhani
Anil Bansode,7823829102,anilbansode@nexora.in,farm123,Dadar,Mumbai City
Kiran Joshi,6060753177,kiranjoshi@nexora.in,farm123,Deglur,Nanded
Shankar Joshi,8422851836,shankarjoshi@nexora.in,farm123,Kopargaon,Ahilyanagar (Ahmednagar)
Rekha Mane,7757483874,rekhamane@nexora.in,farm123,Navapur,Nandurbar
Vasant Naikwadi,8965446810,vasantnaikwadi2@nexora.in,farm123,Colaba,Mumbai City
Baban Jadhav,8000139844,babanjadhav@nexora.in,farm123,Mahad,Raigad
Vasudev Mane,6522460869,vasudevmane@nexora.in,farm123,Mangaon,Raigad
Anil Jadhav,7617649442,aniljadhav@nexora.in,farm123,Malad,Mumbai Suburban
Zaheer Ghule,7804581654,zaheerghule2@nexora.in,farm123,Rajapur,Ratnagiri
Rajesh Sable,8677270848,rajeshsable@nexora.in,farm123,Kalameshwar,Nagpur
Sadashiv Powar,8168769656,sadashivpowar@nexora.in,farm123,Sinnar,Nashik
Rajesh Ubhe,7098759877,rajeshubhe@nexora.in,farm123,Bhudargad,Kolhapur
Sindhu Sable,9435111987,sindhusable@nexora.in,farm123,Kalwan,Nashik
Maruti Jare,7838311712,marutijare@nexora.in,farm123,Ambad,Jalna
Rupali Jare,6665516155,rupalijare@nexora.in,farm123,Loha,Nanded
Shivaji Chavan,8248133354,shivajichavan@nexora.in,farm123,Sindewahi,Chandrapur
Manisha Salunkhe,9139886393,manishasalunkh2@nexora.in,farm123,Mukhed,Nanded
Tanaji Dabhade,9532233988,tanajidabhade@nexora.in,farm123,Lohara,Dharashiv (Osmanabad)
Dnyaneshwar Yadav,8835488184,dnyaneshwaryad2@nexora.in,farm123,Borivali,Mumbai Suburban
Keshav Vibhute,8297421438,keshavvibhute2@nexora.in,farm123,Mangrulpir,Washim
Neelam Ghadge,6225637253,neelamghadge@nexora.in,farm123,Narkhed,Nagpur
Santosh Suryawanshi,9355443610,santoshsuryawa@nexora.in,farm123,Palam,Parbhani
Madhukar Kale,9546719189,madhukarkale@nexora.in,farm123,Indapur,Pune
Kavita Chavan,7654256516,kavitachavan2@nexora.in,farm123,Sangameshwar,Ratnagiri
Balasaheb Ubale,8696014473,balasahebubale@nexora.in,farm123,Arni,Yavatmal
Pooja Randhawa,9346480774,poojarandhawa@nexora.in,farm123,Fort,Mumbai City
Gopichand Kulkarni,7950501035,gopichandkulka@nexora.in,farm123,Nilanga,Latur
Bapurao Dhumal,6544960341,bapuraodhumal2@nexora.in,farm123,Vaijapur,Chhatrapati Sambhajinagar (Aurangabad)
Vasudev Thorat,9030774583,vasudevthorat@nexora.in,farm123,Mouda,Nagpur
Sushila Tupe,9526887017,sushilatupe@nexora.in,farm123,Bramhapuri,Chandrapur
Vinod Mahajan,8289462495,vinodmahajan@nexora.in,farm123,Gadchiroli,Gadchiroli
Laxman Joshi,7719210582,laxmanjoshi3@nexora.in,farm123,Madha,Solapur
Dilip Thorat,8973490055,dilipthorat@nexora.in,farm123,Karjat,Raigad
Tukaram Fadnavis,6228337915,tukaramfadnavi@nexora.in,farm123,Khed,Pune
Ramesh Hande,8870384971,rameshhande2@nexora.in,farm123,Mangaon,Raigad
Sunita Ubale,9642964927,sunitaubale@nexora.in,farm123,Guhagar,Ratnagiri
Hanumant Borate,6265083346,hanumantborate@nexora.in,farm123,Maan,Satara
Ravindra Ghule,8355447014,ravindraghule@nexora.in,farm123,Bhusawal,Jalgaon
Sunita Bhosale,8626047913,sunitabhosale2@nexora.in,farm123,Lohara,Dharashiv (Osmanabad)
Manisha Wagh,8731500595,manishawagh@nexora.in,farm123,Hingoli,Hingoli
Ashok Chavhan,9042108457,ashokchavhan@nexora.in,farm123,Aurangabad,Chhatrapati Sambhajinagar (Aurangabad)
Anand Damle,8104726622,ananddamle@nexora.in,farm123,Ambad,Jalna
Seema Ghadge,7584751601,seemaghadge@nexora.in,farm123,Jiwati,Chandrapur
Madhukar Randhawa,9453346841,madhukarrandha2@nexora.in,farm123,Manora,Washim
Milind Landge,6734477086,milindlandge@nexora.in,farm123,Arvi,Wardha
Shrikant Jagtap,9177485797,shrikantjagtap@nexora.in,farm123,Gadhinglaj,Kolhapur
Vithal Landge,7982648728,vithallandge@nexora.in,farm123,Mohadi,Bhandara
Snehal Rane,8361055066,snehalrane@nexora.in,farm123,Gadhinglaj,Kolhapur
Namdev Nalawade,9964248471,namdevnalawade@nexora.in,farm123,Lakhani,Bhandara
Bandu Pawar,9392112628,bandupawar2@nexora.in,farm123,Karmala,Solapur
Ajit Vibhute,8109516295,ajitvibhute@nexora.in,farm123,Mulchera,Gadchiroli
Ravindra Joshi,9151930893,ravindrajoshi2@nexora.in,farm123,Tumsar,Bhandara
Arun Gawali,9879858112,arungawali@nexora.in,farm123,Thane,Thane
Usha Gadhave,7047619235,ushagadhave@nexora.in,farm123,Ardhapur,Nanded
Shivaji Kulkarni,6097735061,shivajikulkarn2@nexora.in,farm123,Nandura,Buldhana
Narayan Yadav,7664361009,narayanyadav@nexora.in,farm123,Indapur,Pune
Suresh Kale,8771909164,sureshkale@nexora.in,farm123,Pauni,Bhandara
Tanaji Yeole,8088047589,tanajiyeole@nexora.in,farm123,Palam,Parbhani
Usha Ghorpade,9058753226,ushaghorpade@nexora.in,farm123,Junnar,Pune
Yogesh Powar,6977744109,yogeshpowar2@nexora.in,farm123,Hinganghat,Wardha
Yamuna Ghadge,7999453299,yamunaghadge@nexora.in,farm123,Yavatmal,Yavatmal
Dnyaneshwar Yeole,8956931378,dnyaneshwaryeo@nexora.in,farm123,Patur,Akola
