name,mobile,email,password,taluka,district,companyName
Gopal Shelke,9330986567,omagriseedsco@nexora.in,buy123,Ambad,Jalna,Om Agri Seeds Co.
Vandana Hande,7406558194,nilkanthgroundnu@nexora.in,buy123,Amalner,Jalgaon,Nilkanth Groundnut Traders
Milind Damle,8656832164,bhogawaticottont@nexora.in,buy123,Malegaon,Washim,Bhogawati Cotton Traders
Jyoti Thorat,8846968636,konkansugarfacto2@nexora.in,buy123,Aurangabad,Chhatrapati Sambhajinagar (Aurangabad),Konkan Sugar Factory
Balasaheb Gawali,8030694151,yashwantcashewex@nexora.in,buy123,Vengurla,Sindhudurg,Yashwant Cashew Exports Pvt Ltd
Archana Nikam,7973368870,uttamcottontrade@nexora.in,buy123,Hinganghat,Wardha,Uttam Cotton Traders
Madhuri Powar,9561314819,swarajcitrusexpo@nexora.in,buy123,Chikhaldara,Amravati,Swaraj Citrus Exports Pvt Ltd
Tanaji Randhawa,6779996462,priyacottonginni@nexora.in,buy123,Talode,Nandurbar,Priya Cotton Ginning & Pressing
Ramesh Lokhande,8337501019,yashwantagrotech2@nexora.in,buy123,Parel,Mumbai City,Yashwant AgroTech Pvt Ltd
Rupali Borate,8046694536,vaibhavsweetsfoo@nexora.in,buy123,Kannad,Chhatrapati Sambhajinagar (Aurangabad),Vaibhav Sweets & Foods Pvt Ltd
Manisha Jadhav,6310535166,anjaliricemills@nexora.in,buy123,Nagbhid,Chandrapur,Anjali Rice Mills
Rekha Shelke,7436320550,vitthalfoodgrain@nexora.in,buy123,Tiroda,Gondia,Vitthal Foodgrains Pvt Ltd
Snehal Nalawade,7997048172,vitthalbetelnute@nexora.in,buy123,Mahad,Raigad,Vitthal Betelnut Exports
Tanaji Yadav,8026859952,mahindrakajuudyo@nexora.in,buy123,Sangameshwar,Ratnagiri,Mahindra Kaju Udyog
Sachin Vhatkar,7641186077,someshwarfisheri@nexora.in,buy123,Rajapur,Ratnagiri,Someshwar Fisheries Pvt Ltd
Chandrakant Hande,8623710447,jagdambasugarspv@nexora.in,buy123,Bhum,Dharashiv (Osmanabad),Jagdamba Sugars Pvt Ltd
Kiran Jagtap,9972051052,girnartextilespv@nexora.in,buy123,Buldhana,Buldhana,Girnar Textiles Pvt Ltd
Rajesh Jadhav,6056613905,purnavalleysitap@nexora.in,buy123,Majalgaon,Beed,Purna Valley Sitaphal Traders
Meera Lokhande,7522239689,sinhagadricetrad@nexora.in,buy123,Gondia,Gondia,Sinhagad Rice Traders Pvt Ltd
Shobha Dhumal,9694928371,kaverijaggerytra@nexora.in,buy123,Chandgad,Kolhapur,Kaveri Jaggery Traders
Manohar Shinde,8616156556,yashwantcottonmi@nexora.in,buy123,Balapur,Akola,Yashwant Cotton Mills Ltd
Anand More,7599050262,jagdambaalphonso@nexora.in,buy123,Ambarnath,Thane,Jagdamba Alphonso Exports
Mahendra Pawar,7641099335,ekvirafoodgrains@nexora.in,buy123,Pombhurna,Chandrapur,Ekvira Foodgrains Pvt Ltd
Rahul Wagh,9519456484,samruddhicottont2@nexora.in,buy123,Kandhar,Nanded,Samruddhi Cotton Traders
Sunita Ghadge,9709682506,sahakaroilmillsp@nexora.in,buy123,Telhara,Akola,Sahakar Oil Mills Pvt Ltd
Mangesh Borate,6095110723,vishwasagroexpor2@nexora.in,buy123,Thane,Thane,Vishwas Agro Exports Pvt Ltd
Ganesh Ghorpade,9541819392,lokmangalagrotec@nexora.in,buy123,Byculla,Mumbai City,Lokmangal AgroTech Pvt Ltd
Vandana Deshmukh,8207940536,kaverioilmillspv@nexora.in,buy123,Mehkar,Buldhana,Kaveri Oil Mills Pvt Ltd
Kavita Chougule,7404735361,ekviracottonginn@nexora.in,buy123,Arvi,Wardha,Ekvira Cotton Ginning & Pressing
Dilip Dhumal,8283108602,tapitomatotrader@nexora.in,buy123,Baglan,Nashik,Tapi Tomato Traders
Snehal Kulkarni,9609310202,mahindraanartrad@nexora.in,buy123,Malshiras,Solapur,Mahindra Anar Traders
Shankar Ghorpade,8191305615,navnathdalmills@nexora.in,buy123,Nilanga,Latur,Navnath Dal Mills
Vandana Yadav,6607056782,jaihindcottontra4@nexora.in,buy123,Lonar,Buldhana,Jaihind Cotton Traders
Archana Sable,9425494421,priyasoybeantrad@nexora.in,buy123,Mangrulpir,Washim,Priya Soybean Traders
Vinod Wagh,6149318155,rajhanscooperati@nexora.in,buy123,Beed,Beed,Rajhans Cooperative Sugar Karkhana
Deepak Waghmare,6285805601,shivneritextiles@nexora.in,buy123,Sakri,Dhule,Shivneri Textiles Pvt Ltd
Swati Kadam,6178711352,saraswatiagrisee@nexora.in,buy123,Mantha,Jalna,Saraswati Agri Seeds Co.
Dattatray Pawar,7321819975,chandraricemills3@nexora.in,buy123,Dahanu,Palghar,Chandra Rice Mills
Jyoti Deshmukh,7698595004,swarajalphonsoex@nexora.in,buy123,Mokhada,Palghar,Swaraj Alphonso Exports
Amol Nikam,9696472518,kalikacottontrad@nexora.in,buy123,Mangrulpir,Washim,Kalika Cotton Traders
Eknath Kale,9569762929,khandobacashewpr@nexora.in,buy123,Guhagar,Ratnagiri,Khandoba Cashew Processors
Amol Deshpande,7710661886,balajiagroexport@nexora.in,buy123,Daund,Pune,Balaji Agro Exports Pvt Ltd
Ajit Kulkarni,8136934031,vijayricemills@nexora.in,buy123,Bramhapuri,Chandrapur,Vijay Rice Mills
Sarika Hande,8548018485,vaibhavsantratra@nexora.in,buy123,Warud,Amravati,Vaibhav Santra Traders
Anita Waghmare,9074101239,mulatextilespvtl3@nexora.in,buy123,Kelapur,Yavatmal,Mula Textiles Pvt Ltd
Ravindra Patil,8476378811,konkanfreshveget@nexora.in,buy123,Koregaon,Satara,Konkan Fresh Vegetable Traders
Deepak Kale,6927205433,deccancottontrad@nexora.in,buy123,Ballarpur,Chandrapur,Deccan Cotton Traders
Rupali Lokhande,6993502899,shreeorangeproce@nexora.in,buy123,Chandurbazar,Amravati,Shree Orange Processing Co.
Yogesh Rathod,8982956430,tuljabhavanitext@nexora.in,buy123,Barshitakli,Akola,Tulja Bhavani Textiles Pvt Ltd
Snehal Randhawa,8458451560,vinayakricemills@nexora.in,buy123,Lakhandur,Bhandara,Vinayak Rice Mills
Pooja Gaikwad,9656245126,ghodricemills@nexora.in,buy123,Gondia,Gondia,Ghod Rice Mills
Manohar Rane,8235503650,lokmangalcottonm@nexora.in,buy123,Sakri,Dhule,Lokmangal Cotton Mills Ltd
Bapurao Damle,8969295199,vitthalsoybeantr3@nexora.in,buy123,Karanja,Washim,Vitthal Soybean Traders
Manohar Sable,8712715347,vijayseafoodexpo@nexora.in,buy123,Khalapur,Raigad,Vijay Seafood Exports Co.
Ramesh Ghorpade,7092960312,anjalicooperativ@nexora.in,buy123,Parli,Beed,Anjali Cooperative Sugar Karkhana
Vandana More,8832237035,laxmiguludyog@nexora.in,buy123,Chandgad,Kolhapur,Laxmi Gul Udyog
Raghunath Rathod,8368981187,tapicottonmillsl4@nexora.in,buy123,Risod,Washim,Tapi Cotton Mills Ltd
Kavita Jagtap,8295541025,bhairavgadcooper@nexora.in,buy123,Akole,Ahilyanagar (Ahmednagar),Bhairavgad Cooperative Sugar Karkhana
Pooja Chavan,6822346530,malharmilkproduc@nexora.in,buy123,Pathardi,Ahilyanagar (Ahmednagar),Malhar Milk Producers Co.
Prashant Sathe,7727903168,pravarafoodsexpo@nexora.in,buy123,Borivali,Mumbai Suburban,Pravara Foods & Exports Pvt Ltd
Neelam Nalawade,6478661827,chandraagrofoods@nexora.in,buy123,Nandurbar,Nandurbar,Chandra Agro Foods Pvt Ltd
Prashant Gaikwad,9644669725,pavanaturmericpr@nexora.in,buy123,Purna,Parbhani,Pavana Turmeric Processing Co.
Vinod Deshmukh,9936052575,vitthaltextilesp2@nexora.in,buy123,Shahada,Nandurbar,Vitthal Textiles Pvt Ltd
Anjali Bhagat,9115630434,panchvatisugarsp@nexora.in,buy123,Kaij,Beed,Panchvati Sugars Pvt Ltd
Snehal Hande,9536076311,aishwaryacashewp@nexora.in,buy123,Dapoli,Ratnagiri,Aishwarya Cashew Processors
Mahendra Salunkhe,7854405713,shivshaktionionv@nexora.in,buy123,Velhe,Pune,Shivshakti Onion & Vegetable Traders
Balasaheb Ghorpade,9592006280,ganeshfoodgrains3@nexora.in,buy123,Arjuni-Morgaon,Gondia,Ganesh Foodgrains Pvt Ltd
Shankar Suryawanshi,9236403855,samratcottonginn@nexora.in,buy123,Raver,Jalgaon,Samrat Cotton Ginning & Pressing
Anjali Damle,6470801875,konkankelavyapar@nexora.in,buy123,Pandharpur,Solapur,Konkan Kela Vyapari
Kavita Suryawanshi,8960424476,shubhampapayaexp@nexora.in,buy123,Dhadgaon,Nandurbar,Shubham Papaya Exports
Anita Kulkarni,9592316351,malharspicetrade2@nexora.in,buy123,Sailu,Parbhani,Malhar Spice Traders
Suresh Shinde,7166343529,suvarnacopraoilm@nexora.in,buy123,Mahad,Raigad,Suvarna Copra & Oil Mills
Archana Shinde,8962436584,vaibhavraisintra@nexora.in,buy123,Khanapur,Sangli,Vaibhav Raisin Traders
Milind Jadhav,7902047503,sinnaroniontrade@nexora.in,buy123,Deola,Nashik,Sinnar Onion Traders
Rahul Deshpande,6331056935,shivnerialphonso@nexora.in,buy123,Lanja,Ratnagiri,Shivneri Alphonso Exports
Archana Sable,8328842918,rajlaxmifreshveg@nexora.in,buy123,Shahapur,Thane,Rajlaxmi Fresh Vegetable Traders
Madhuri More,7925750905,chhatrapatitexti@nexora.in,buy123,Erandol,Jalgaon,Chhatrapati Textiles Pvt Ltd
Shobha Vhatkar,8422144562,konkankelavyapar2@nexora.in,buy123,Chopda,Jalgaon,Konkan Kela Vyapari
Seema Waghmare,7493612459,jaihindricetrade@nexora.in,buy123,Salekasa,Gondia,Jaihind Rice Traders Pvt Ltd
Bharat Bhagat,6307830923,sahyadriricetrad@nexora.in,buy123,Ambarnath,Thane,Sahyadri Rice Traders Pvt Ltd
Sopan Dhumal,8567902235,samruddhimangotr@nexora.in,buy123,Khed,Ratnagiri,Samruddhi Mango Traders
Eknath Rathod,7151380319,purnavalleycashe2@nexora.in,buy123,Devgad,Sindhudurg,Purna Valley Cashew Processors
Vishal Chavan,9851404121,godavaricooperat2@nexora.in,buy123,Chandgad,Kolhapur,Godavari Cooperative Sugar Karkhana
Kalpana Patil,8901547382,amrutasugarfacto@nexora.in,buy123,Purandhar,Pune,Amruta Sugar Factory
Ganesh Ghadge,7988217673,ganeshkajuudyog@nexora.in,buy123,Khed,Ratnagiri,Ganesh Kaju Udyog
Shobha Gadhave,7427766144,rajmatapulsestra@nexora.in,buy123,Nilanga,Latur,Rajmata Pulses Traders Pvt Ltd
Vijay Rane,9754257692,marathafisheries@nexora.in,buy123,Guhagar,Ratnagiri,Maratha Fisheries Pvt Ltd
Sunil Powar,8486057293,ghodsugarfactory@nexora.in,buy123,Bhor,Pune,Ghod Sugar Factory
Sunita Nalawade,6255608112,digvijaysoyaproc2@nexora.in,buy123,Tuljapur,Dharashiv (Osmanabad),Digvijay Soya Processors
Manohar Patil,8640560620,vaishnavifruitpr@nexora.in,buy123,Khatav,Satara,Vaishnavi Fruit Preserves Co.
Rahul Gadhave,8956255352,godavaricottonmi@nexora.in,buy123,Darwha,Yavatmal,Godavari Cotton Mills Ltd
Ramesh Deshpande,7226194708,godavarivalleyvi@nexora.in,buy123,Shirur,Pune,Godavari Valley Vineyards
Sanjay Pawar,7944202710,kundastrawberryj@nexora.in,buy123,Satara,Satara,Kunda Strawberry Jam Ltd
Sanjay Mane,9999543000,suryaseedspvtltd@nexora.in,buy123,Kannad,Chhatrapati Sambhajinagar (Aurangabad),Surya Seeds Pvt Ltd
Archana Kale,9592751948,vaishnavicottont@nexora.in,buy123,Dhule,Dhule,Vaishnavi Cotton Traders
Anand Vhatkar,7179160746,rajlaxmihaldiudy@nexora.in,buy123,Shirala,Sangli,Rajlaxmi Haldi Udyog
Dilip More,7962599224,vaibhavchikooexp@nexora.in,buy123,Palghar,Palghar,Vaibhav Chikoo Exports
Rahul Nalawade,6368438704,padmavatiricetra@nexora.in,buy123,Deori,Gondia,Padmavati Rice Traders Pvt Ltd
Vandana Nalawade,9685027390,tapicottonmillsl@nexora.in,buy123,Bodwad,Jalgaon,Tapi Cotton Mills Ltd
Shobha Hande,7752741831,harihareshwarfre2@nexora.in,buy123,Miraj,Sangli,Harihareshwar Fresh Grapes Exports
Swati Waghmare,6956820882,rajlaxmidalmills@nexora.in,buy123,Deoni,Latur,Rajlaxmi Dal Mills
Ajit Pawar,9996890770,adityacitrusexpo@nexora.in,buy123,Warud,Amravati,Aditya Citrus Exports Pvt Ltd
Gopichand Fadnavis,6226400072,nilkanthsugarspv@nexora.in,buy123,Shirur-Kasar,Beed,Nilkanth Sugars Pvt Ltd
Vijay Solanke,9004760634,ashirwadwinespvt@nexora.in,buy123,Yeola,Nashik,Ashirwad Wines Pvt Ltd
Rajendra Sathe,8054034436,nilkanthsugarfac@nexora.in,buy123,Mohol,Solapur,Nilkanth Sugar Factory
Dilip Rathod,6641873224,amrutagrotrading@nexora.in,buy123,Borivali,Mumbai Suburban,Amrut Agro Trading Co.
Prashant Kadam,9520797644,bhairavnathstraw@nexora.in,buy123,Phaltan,Satara,Bhairavnath Strawberry Jam Ltd
Kavita Hande,6169533378,bhairavnathfresh@nexora.in,buy123,Ambegaon,Pune,Bhairavnath Fresh Grapes Exports
